session,rb,mb,rpm,map,actual,frames,visits,S,residual,first_ts
session_2026-08-14_16-45-40_807d2a20,8,18,883,0.452,5.00224,2,2,1.01721147445,0.171912109294,1.78673963424e+12
session_2026-08-14_16-45-40_807d2a20,8,19,892,0.482,5.31456,2,1,1.01721147445,0.14243844367,1.78673964622e+12
session_2026-08-14_16-45-40_807d2a20,8,20,887,0.511,5.53856,2,1,1.01721147445,0.0506712409864,1.78673963338e+12
session_2026-08-14_16-45-40_807d2a20,8,21,887,0.531,5.71136,3,2,1.01721147445,-0.00985792343957,1.78673963283e+12
session_2026-08-14_16-45-40_807d2a20,9,21,904,0.531,5.75232,2,2,1.01721147445,-0.00705383954685,1.78673963255e+12
session_2026-08-14_16-45-40_807d2a20,21,33,2187,0.845,9.3952,1,1,1.01721147445,0.406962088354,1.78673792856e+12
session_2026-08-14_16-45-40_807d2a20,21,35,2150,0.894,10.46272,1,1,1.01721147445,0.0333188985313,1.78673794459e+12
session_2026-08-14_16-45-40_807d2a20,22,32,2277,0.815,8.13056,1,1,1.01721147445,-0.138985578409,1.78673794605e+12
session_2026-08-14_16-45-40_807d2a20,23,34,2336,0.854,9.792,1,1,1.01721147445,0.490668141619,1.78673793942e+12
session_2026-08-14_16-45-40_807d2a20,24,33,2409,0.845,9.76896,1,1,1.01721147445,0.6279412648,1.78673792737e+12
session_2026-08-14_16-45-40_807d2a20,25,33,2577,0.845,9.22112,1,1,1.01721147445,-0.246400310093,1.78673792661e+12
session_2026-08-14_23-34-20_807d2a20,8,15,869,0.394,4.24192,530,94,1.02308385382,0.016245365233,1.78676129224e+12
session_2026-08-14_23-34-20_807d2a20,8,16,870,0.403,4.34944,1539,137,1.02308385382,0.0290235251888,1.78676128811e+12
session_2026-08-14_23-34-20_807d2a20,8,17,876,0.433,4.4416,12,2,1.02308385382,-0.202193517284,1.78676128779e+12
session_2026-08-14_23-34-20_807d2a20,8,18,870,0.452,4.36224,1,1,1.02308385382,-0.470120512184,1.78676230559e+12
session_2026-08-15_00-53-18_807d2a20,8,15,870,0.394,4.26368,68,13,1.02369030543,0.033880054802,1.78676604186e+12
session_2026-08-15_00-53-18_807d2a20,8,16,871,0.403,4.3648,211,20,1.02369030543,0.0401431700618,1.78676600304e+12
session_2026-08-17_10-05-54_0cab1f14,8,11,874,0.296,3.10016,2,1,1.00995164208,-0.085195905381,1.78697314884e+12
session_2026-08-17_10-05-54_0cab1f14,8,12,869,0.305,3.21664,20,3,1.00995164208,-0.0534430432832,1.78697314755e+12
session_2026-08-17_10-05-54_0cab1f14,8,13,871,0.325,3.43552,8,3,1.00995164208,-0.0369310031369,1.78697285727e+12
session_2026-08-17_10-05-54_0cab1f14,8,14,867,0.374,3.89376,41,9,1.00995164208,-0.0709945285358,1.78697231545e+12
session_2026-08-17_10-05-54_0cab1f14,8,15,867,0.394,4.17792,161,31,1.00995164208,0.00973461962573,1.78697222715e+12
session_2026-08-17_10-05-54_0cab1f14,8,16,869,0.413,4.3392,366,58,1.00995164208,-0.0263385243109,1.7869722248e+12
session_2026-08-17_10-05-54_0cab1f14,8,17,871,0.433,4.60416,106,39,1.00995164208,0.0292609725418,1.78697222535e+12
session_2026-08-17_10-05-54_0cab1f14,8,18,874,0.462,4.9152,92,29,1.00995164208,0.0312786941828,1.78697225124e+12
session_2026-08-17_10-05-54_0cab1f14,8,19,879,0.492,5.25952,64,25,1.00995164208,0.0414506908841,1.78697223835e+12
session_2026-08-17_10-05-54_0cab1f14,8,20,882,0.501,5.45664,102,25,1.00995164208,0.132029945809,1.7869722378e+12
session_2026-08-17_10-05-54_0cab1f14,8,21,881,0.531,5.71392,50,13,1.00995164208,0.0488469982514,1.78697238535e+12
session_2026-08-17_10-05-54_0cab1f14,8,22,876,0.55,5.84192,17,7,1.00995164208,-0.0354856586591,1.78697249814e+12
session_2026-08-17_10-05-54_0cab1f14,8,23,855,0.58,6.35904,1,1,1.00995164208,0.185226132809,1.7869724265e+12
session_2026-08-17_10-05-54_0cab1f14,8,24,863,0.619,6.88384,3,2,1.00995164208,0.153705337589,1.78697242678e+12
session_2026-08-17_10-05-54_0cab1f14,8,25,855,0.629,6.97984,2,1,1.00995164208,0.145298152245,1.78697255544e+12
session_2026-08-17_10-05-54_0cab1f14,9,13,913,0.345,3.59424,1,1,1.00995164208,-0.120194672677,1.78697285828e+12
session_2026-08-17_10-05-54_0cab1f14,9,15,913,0.384,4.01664,1,1,1.00995164208,-0.104986224221,1.78697245803e+12
session_2026-08-17_10-05-54_0cab1f14,9,16,920,0.413,4.13312,2,2,1.00995164208,-0.299572388366,1.78697285291e+12
session_2026-08-17_10-05-54_0cab1f14,9,17,906,0.433,4.21632,1,1,1.00995164208,-0.413274866839,1.78697292365e+12
session_2026-08-17_10-05-54_0cab1f14,9,18,915,0.452,4.45184,2,2,1.00995164208,-0.391749791802,1.78697269659e+12
session_2026-08-17_10-05-54_0cab1f14,9,19,912,0.482,5.0176,2,2,1.00995164208,-0.150477632905,1.78697234751e+12
session_2026-08-17_10-05-54_0cab1f14,9,20,907,0.511,5.21728,1,1,1.00995164208,-0.27148255783,1.7869723767e+12
session_2026-08-17_10-05-54_0cab1f14,9,21,940,0.531,5.82144,1,1,1.00995164208,0.047901569838,1.78697224111e+12
session_2026-08-17_10-05-54_0cab1f14,9,22,932,0.57,6.03648,3,3,1.00995164208,-0.222556440789,1.78697254574e+12
session_2026-08-17_10-05-54_0cab1f14,9,23,948,0.59,6.58688,1,1,1.00995164208,0.0318959695948,1.78697254372e+12
session_2026-08-17_10-05-54_0cab1f14,11,8,1173,0.217,2.82368,1,1,1.00995164208,0.314352104139,1.78697310637e+12
session_2026-08-17_10-05-54_0cab1f14,11,9,1167,0.227,2.82368,5,1,1.00995164208,0.242218815451,1.78697310572e+12
session_2026-08-17_10-05-54_0cab1f14,11,30,1142,0.756,9.23392,1,1,1.00995164208,-0.303326385415,1.78697245472e+12
session_2026-08-17_10-05-54_0cab1f14,12,9,1226,0.247,2.82112,4,2,1.00995164208,0.0962828309553,1.78697310262e+12
session_2026-08-17_10-05-54_0cab1f14,12,10,1280,0.266,2.83904,2,1,1.00995164208,-0.0247396052313,1.78697310289e+12
session_2026-08-17_10-05-54_0cab1f14,12,21,1294,0.541,6.33856,1,1,1.00995164208,0.864723026047,1.7869726254e+12
session_2026-08-17_10-05-54_0cab1f14,12,22,1270,0.55,6.18496,3,3,1.00995164208,0.553615338262,1.78697249463e+12
session_2026-08-17_10-05-54_0cab1f14,12,24,1283,0.619,6.7008,6,2,1.00995164208,0.196474591344,1.78697224743e+12
session_2026-08-17_10-05-54_0cab1f14,12,25,1278,0.629,6.73024,2,2,1.00995164208,0.0648305781896,1.78697224836e+12
session_2026-08-17_10-05-54_0cab1f14,12,26,1265,0.668,7.66976,1,1,1.00995164208,0.339214798213,1.78697262646e+12
session_2026-08-17_10-05-54_0cab1f14,13,21,1396,0.531,4.36224,1,1,1.00995164208,-0.789004367391,1.78697309898e+12
session_2026-08-17_10-05-54_0cab1f14,13,22,1352,0.56,4.7488,3,1,1.00995164208,-0.817010743834,1.78697257182e+12
session_2026-08-17_10-05-54_0cab1f14,13,23,1382,0.58,5.1584,5,2,1.00995164208,-0.576166194439,1.78697237754e+12
session_2026-08-17_10-05-54_0cab1f14,13,30,1347,0.756,8.16128,1,1,1.00995164208,-0.636105920705,1.78697274858e+12
session_2026-08-17_10-05-54_0cab1f14,14,13,1497,0.335,3.22816,1,1,1.00995164208,-0.0812969491255,1.78697307414e+12
session_2026-08-17_10-05-54_0cab1f14,14,14,1435,0.364,3.5328,2,2,1.00995164208,-0.0561505718039,1.78697307699e+12
session_2026-08-17_10-05-54_0cab1f14,14,15,1469,0.384,3.50464,3,1,1.00995164208,-0.215055533007,1.78697308833e+12
session_2026-08-17_10-05-54_0cab1f14,14,16,1465,0.403,3.99104,3,1,1.00995164208,0.113048071859,1.78697309066e+12
session_2026-08-17_10-05-54_0cab1f14,14,22,1405,0.55,4.66176,1,1,1.00995164208,-0.675275872922,1.78697309881e+12
session_2026-08-17_10-05-54_0cab1f14,14,25,1498,0.649,6.23872,2,2,1.00995164208,-0.112827469187,1.78697257552e+12
session_2026-08-17_10-05-54_0cab1f14,14,26,1471,0.668,5.76256,5,2,1.00995164208,-0.943944894935,1.7869725753e+12
session_2026-08-17_10-05-54_0cab1f14,14,27,1459,0.688,6.44992,12,6,1.00995164208,-0.613870965979,1.78697257416e+12
session_2026-08-17_10-05-54_0cab1f14,14,28,1428,0.717,6.98624,2,1,1.00995164208,-0.695164291278,1.7869730834e+12
session_2026-08-17_10-05-54_0cab1f14,14,29,1438,0.727,7.51744,2,2,1.00995164208,-0.322943937872,1.78697307844e+12
session_2026-08-17_10-05-54_0cab1f14,14,30,1476,0.766,8.99328,2,1,1.00995164208,0.469753762525,1.78697309292e+12
session_2026-08-17_10-05-54_0cab1f14,14,31,1403,0.786,7.84896,3,2,1.00995164208,-1.44237753683,1.78697271104e+12
session_2026-08-17_10-05-54_0cab1f14,15,8,1593,0.217,2.48192,2,1,1.00995164208,0.0271958422014,1.78697274348e+12
session_2026-08-17_10-05-54_0cab1f14,15,11,1584,0.286,2.60096,1,1,1.00995164208,-0.300440315548,1.7869730665e+12
session_2026-08-17_10-05-54_0cab1f14,15,13,1596,0.345,3.0784,2,1,1.00995164208,-0.243359091397,1.7869725175e+12
session_2026-08-17_10-05-54_0cab1f14,15,14,1521,0.354,3.43552,1,1,1.00995164208,-0.0038444101445,1.78697307395e+12
session_2026-08-17_10-05-54_0cab1f14,15,15,1550,0.394,3.5968,6,2,1.00995164208,-0.125256783642,1.78697306964e+12
session_2026-08-17_10-05-54_0cab1f14,15,16,1544,0.413,3.7952,6,2,1.00995164208,-0.0794868474588,1.78697306893e+12
session_2026-08-17_10-05-54_0cab1f14,15,18,1563,0.452,4.1536,2,1,1.00995164208,-0.00896277162819,1.78697306758e+12
session_2026-08-17_10-05-54_0cab1f14,15,19,1574,0.482,4.13952,1,1,1.00995164208,-0.256375160969,1.78697256936e+12
session_2026-08-17_10-05-54_0cab1f14,15,27,1546,0.688,5.51296,4,1,1.00995164208,-1.30064569506,1.7869725917e+12
session_2026-08-17_10-05-54_0cab1f14,15,28,1504,0.717,7.0272,2,2,1.00995164208,-0.405519798362,1.78697230734e+12
session_2026-08-17_10-05-54_0cab1f14,15,29,1576,0.747,7.61344,7,3,1.00995164208,-0.166637248963,1.7869723076e+12
session_2026-08-17_10-05-54_0cab1f14,15,30,1586,0.766,7.48032,1,1,1.00995164208,-0.659498681707,1.78697306456e+12
session_2026-08-17_10-05-54_0cab1f14,16,8,1639,0.207,2.3168,1,1,1.00995164208,-0.0824148143915,1.78697274225e+12
session_2026-08-17_10-05-54_0cab1f14,16,20,1654,0.511,4.08576,1,1,1.00995164208,-0.453226094938,1.78697256882e+12
session_2026-08-17_10-05-54_0cab1f14,16,21,1666,0.531,4.28288,1,1,1.00995164208,-0.41575432853,1.78697256853e+12
session_2026-08-17_10-05-54_0cab1f14,16,28,1654,0.707,6.04416,1,1,1.00995164208,-0.801584546156,1.78697259396e+12
session_2026-08-17_10-05-54_0cab1f14,16,29,1685,0.747,7.35744,1,1,1.00995164208,-0.116727398453,1.78697271372e+12
session_2026-08-17_10-05-54_0cab1f14,16,30,1670,0.766,7.296,1,1,1.00995164208,-0.592877113719,1.78697271343e+12
session_2026-08-17_10-05-54_0cab1f14,16,33,1614,0.845,9.50016,1,1,1.00995164208,-0.520500122413,1.78697294596e+12
session_2026-08-17_10-05-54_0cab1f14,17,22,1724,0.57,4.6208,4,3,1.00995164208,-0.36461037689,1.78697256742e+12
session_2026-08-17_10-05-54_0cab1f14,17,23,1723,0.58,4.25216,1,1,1.00995164208,-0.833521446239,1.78697294846e+12
session_2026-08-17_10-05-54_0cab1f14,17,24,1714,0.609,4.65152,1,1,1.00995164208,-0.753652553803,1.78697294881e+12
session_2026-08-17_10-05-54_0cab1f14,17,25,1724,0.649,5.32992,7,2,1.00995164208,-0.534845008849,1.78697294915e+12
